subj_id,rt,ink_colour,response,word
1,761.2492366893384,pink,pink,yellow
1,763.0646677436035,pink,pink,green
1,568.0020873757445,yellow,yellow,purple
1,640.9656876568724,green,green,red
1,664.9891734290593,orange,orange,pink
1,603.8208766140694,purple,purple,green
1,773.794776662296,red,red,yellow
1,649.5387393822381,blue,blue,pink
1,707.2175976154289,brown,brown,blue
1,640.3884417950238,orange,pink,pink
1,505.7483730037391,purple,purple,pink
1,762.4988913404615,green,green,orange
1,676.2191023394915,red,red,pink
1,683.4714159015124,blue,blue,red
1,692.6652247600972,yellow,yellow,blue
1,618.233401157188,brown,brown,pink
1,517.6099772876289,red,red,red
1,682.245442062072,pink,pink,pink
1,697.1664034491325,yellow,yellow,yellow
1,701.49964202678,pink,pink,pink
1,554.1629509670942,red,red,red
1,619.2942270423332,green,green,green
1,740.2468297808413,orange,orange,orange
1,529.608535067676,brown,brown,brown
1,759.2204326825942,purple,purple,purple
1,665.3906813079084,green,green,green
1,632.6811600372309,purple,purple,purple
1,645.535412966297,blue,blue,blue
1,676.2917621133346,orange,orange,orange
1,655.6020066035167,blue,blue,blue
1,668.6768750433889,yellow,yellow,yellow
1,751.8549230104518,brown,brown,brown
2,491.2950054793752,green,green,green
2,420.91686930511605,orange,orange,orange
2,448.13597721481665,red,red,red
2,520.3016407606552,yellow,yellow,yellow
2,430.7114951502143,blue,blue,blue
2,553.0898963282675,purple,purple,purple
2,556.5874047138889,orange,orange,orange
2,502.37342745642076,blue,blue,blue
2,700.7619703226393,purple,purple,purple
2,408.3090860389241,green,green,green
2,405.0322928066776,brown,brown,brown
2,412.4942885304508,red,red,red
2,618.3472540825502,pink,pink,pink
2,587.5024720985244,brown,brown,brown
2,366.21537886949574,yellow,yellow,yellow
2,519.5951981225313,pink,pink,pink
2,762.5760159949133,purple,purple,pink
2,723.7624219747615,brown,brown,pink
2,621.9280919718408,orange,orange,pink
2,665.0391615673703,green,green,purple
2,545.2194086398238,pink,orange,orange
2,532.1080460703597,red,red,yellow
2,614.2932271348819,red,red,yellow
2,497.48000536211356,brown,brown,blue
2,836.7624258289283,blue,blue,orange
2,625.4846725090841,blue,blue,purple
2,576.9393610483163,yellow,yellow,green
2,836.2963710587383,purple,purple,orange
2,753.94099076048,orange,orange,brown
2,684.2737416508752,green,green,pink
2,734.2607787452612,pink,pink,red
2,680.5860627689666,yellow,yellow,blue
3,659.0173374281795,brown,brown,brown
3,688.184158997996,blue,blue,blue
3,663.7392679317803,green,green,green
3,733.1214412333959,yellow,yellow,yellow
3,541.6729111624634,brown,brown,brown
3,619.5775450962266,blue,blue,blue
3,416.4702169737368,purple,purple,purple
3,658.8185715780842,yellow,yellow,yellow
3,731.0985530955644,purple,purple,purple
3,602.5677519289382,orange,orange,orange
3,740.0173596181338,red,red,red
3,724.5932069045123,pink,pink,pink
3,555.9405464671278,pink,pink,pink
3,719.0444523237966,red,red,red
3,664.172802224139,orange,orange,orange
3,620.9661832017223,green,green,green
3,723.64444625965,yellow,yellow,orange
3,656.108977294028,blue,blue,red
3,573.5281819636936,blue,yellow,yellow
3,685.4335378870605,purple,purple,orange
3,696.7882268580663,brown,brown,purple
3,700.0273941680595,red,red,green
3,653.0678474829153,pink,pink,brown
3,604.09215961197,purple,purple,pink
3,690.8184999486272,yellow,yellow,purple
3,559.4878296765365,brown,brown,purple
3,795.9932129599074,red,red,orange
3,674.3393085449263,orange,orange,yellow
3,827.0129738345066,green,green,blue
3,622.4709049325305,green,green,blue
3,717.7068944246553,pink,pink,brown
3,763.6991768879934,orange,orange,brown
4,681.5837316881167,brown,brown,brown
4,678.9948703758926,brown,brown,brown
4,684.5739380845084,purple,purple,purple
4,745.5359282463193,red,red,red
4,586.2340811371148,yellow,yellow,yellow
4,693.4631987182521,pink,pink,pink
